num,name,time,discription
101,先秦兩漢儒家思想,[2]5~6,
103,解碼台灣當代電影,[2]5~6,
104,口述歷史,[2]5~6,
107,基督思想,[2]5~6,
110,倫理學,[2]5~6,
112,音樂舞蹈戲劇,[2]5~6,
113,實踐哲學,[2]5~6,
114,考古發現與歷史新貌,[2]5~6,
115,博物館學導論,[2]7~8,
116,臺灣古典文學,[2]5~6,
117,宗教哲學,[2]5~6,
120,創意思考,[2]5~6,
121,心理學,[2]5~6,
122,應用統計,[2]5~6,
123,家庭關係,[2]5~6,
125,政經時事的公民思辨,[2]5~6,
126,電影、小說與社會,[2]5~6,
141,檢驗醫學概論,[2]5~6,
142,動物寄生蟲與生活,[2]5~6,
143,物理治療與健康,[2]5~6,
144,職業健康促進,[2]5~6,
145,職能治療與健康,[2]5~6,
146,健康促進,[2]5~6,
147,從醫學看健康生活,[2]5~6,
161,應用電學,[2]7~8,
162,光電科技導論,[2]5~6,
163,工程概論,[2]5~6,
164,界面化學的生活應用,[2]5~6,
165,認識地震,[2]7~8,
181,文學與環境,[2]5~6,
182,科學傳播：過去、現在與未來,[2]5~6,
183,智慧健康生活概論,[2]6,
185,防災科技管理概論,[2]7~8,
186,倫理與組織行為,[2]5~6,
188,設計思考 II－構思與發展,[2]5~6,
201,先秦兩漢儒家思想,[3]3~4,
202,女性文學選讀,[3]3~4,
203,古蹟與文化,[3]3~4,
204,批判思考:當代文學理論,[3]7~8,
205,愛爾蘭歷史與文化,[3]5~6,
206,戲劇賞析,[3]3~4,
207,流行樂賞析與實務,[3]5~6,
208,藝術叩門,[3]7~8,
209,西方古典音樂,[3]3~4,
210,西方古典音樂,[3]5~6,
211,傳統中國婦女與政治,[3]5~6,
212,哲學概論,[3]3~4,
213,戲劇與電影,[3]5~6,
214,戲劇與小說,[3]7~8,
215,俄羅斯藝術與文化,[3]7~8,
216,英文短篇故事賞析,[3]5~6,
221,心理學,[3]3~4,
222,無障礙生活與環境,[3]3~4,
223,社會學概論,[3]3~4,
224,性別關係,[3]3~4,
241,醫學生物技術概論,[3]3~4,
242,口腔疾病與保健,[3]3~4,
261,環境污染與防治,[3]3~4,
262,工程概論,[3]3~4,
263,WWW網頁設計,[3]3~4,
265,科技與國防,[3]3~4,
281,成功學,[3]3~4,
282,科學傳播概論,[3]7~8,
283,航空科技與文化,[3]3~4,
284,決策藝術,[3]3~4,
285,設計思考 I－發現與洞察,[3]3~4,
286,整合醫療實證科學,[3]3~4,
287,"環境,職業與健康人生",[3]3~4,
288,健康與社會,[3]3~4,
303,臺灣古典文學,[4]5~6,
304,佛教思想與現代社會,[4]7~8,
311,生命哲學與批判性思考-生、死、價值、意義,[4]5~6,
322,生涯發展,[4]5~6,
323,政治學概論,[4]5~6,
324,法學緒論,[4]8~9,
325,生涯規劃－張有德精英論壇,[4]5~6,
327,經濟學概論,[4]5~6,
328,經濟學概論,[4]7~8,
342,急難救助,[4]5~6,
343,水產養殖與健康,[4]5~6,
344,運動與健康,[4]5~6,
361,應用化學與實驗,[4]5~6,
362,運動與科學,[4]5~6,
364,生活中玩光電,[4]5~6,
383,當代全球健康議題,[4]5~6,
384,生技研發成果商品化導論,[4]5~6,
387,第三次工業革命之工程專業技能,[4]6~8,
404,台語文學與藝術,[5]3~4,
406,藝術、設計與生活,[5]3~4,
408,台灣美術史,[5]3~4,
421,法學緒論,[5]1~2,
423,性別行動導向學習,[5]1,
461,建築與抗震,[5]3~4,
483,生醫用工程學導論,[5]3~4,
486,科技與生命價值,[5]1~2,
487,全球化與人文關懷,[5]3~4,
531,通識領袖論壇,[2]7~8,限4年級以上選課
571,臺灣綜合大學通識巡迴講座-環境生態保育,[4]7~8,限4年級以上選課
573,通識專題講座-大學導航,[5]3~4,限大一新生
